favwin,favscr,undscr,spread,favhome,fregion,uregion
1,72,61,7,0,3,4
1,82,74,7,1,3,1
1,87,57,17,1,3,3
0,69,70,9,1,3,3
0,77,79,2.5,0,2,3
1,91,65,9,0,3,4
1,95,88,10,1,3,3
1,90,67,18,1,4,4
0,79,80,7.5,0,3,3
1,103,68,8,0,2,2
1,88,62,2,1,2,2
1,78,57,10,1,2,2
1,74,62,6,0,4,4
0,64,66,5,1,4,3
0,59,82,10,0,3,4
1,92,62,33,1,4,4
1,68,63,11,1,3,3
1,97,54,24,1,2,2
1,69,66,15,0,1,1
1,69,61,14,1,1,2
1,87,59,27,1,1,1
0,59,79,1.5,0,1,1
0,72,74,8,1,1,1
1,105,53,30,1,4,4
1,85,58,26,0,2,4
0,73,80,2,0,2,4
1,77,45,14,1,3,3
1,96,55,20,1,2,3
1,83,50,21,1,4,3
1,99,63,21,1,2,1
1,95,58,16,1,4,3
1,60,41,5,0,3,4
1,82,56,1,0,4,2
1,87,67,21,1,2,1
1,75,67,9,1,2,4
0,65,79,2,0,1,1
1,89,67,20,1,1,2
1,84,68,1,0,4,4
1,87,65,25,1,4,3
1,107,97,4,0,3,3
1,73,60,26,1,4,4
1,90,79,8,0,4,3
0,58,64,2,0,2,1
1,80,76,17,0,3,4
1,85,49,30,0,4,1
1,67,65,20,1,1,2
1,70,65,1,0,4,3
1,82,63,14,1,2,1
1,74,68,14,1,4,3
1,95,73,4,1,4,3
1,91,71,14,1,4,3
1,70,65,10,1,3,2
1,94,71,5.5,0,2,2
0,70,77,1,1,2,2
1,86,68,9,1,3,2
1,58,38,10.5,1,4,4
0,56,66,8,0,2,3
1,82,78,3.5,1,3,1
1,85,71,8,1,3,3
1,75,57,4,0,3,4
1,79,70,1,0,4,4
0,87,91,2,0,3,4
1,80,77,16,1,4,4
1,127,104,5,1,2,4
1,81,70,5.5,0,3,4
1,88,74,3.5,1,3,4
1,96,80,15,1,1,1
1,86,56,13.5,1,2,2
1,85,66,14,1,1,1
1,86,51,21,1,3,4
1,84,63,5,0,3,3
1,89,56,19,0,4,4
1,83,71,7,0,3,3
0,61,68,1,1,3,2
0,56,57,12,0,3,3
1,105,85,11,0,4,4
0,74,76,2,1,4,4
1,64,58,2,0,3,3
1,120,105,3,1,2,3
1,85,74,4.5,0,3,3
0,76,90,7.5,0,3,1
1,75,66,12.5,1,4,4
1,53,49,8,0,4,4
0,59,83,3.5,1,3,3
1,78,66,26,1,2,2
1,81,67,23,1,1,2
1,66,57,1,1,3,3
0,56,66,8,1,1,1
1,74,65,10,1,2,2
1,75,60,2.5,0,4,3
1,81,64,23,1,3,3
1,91,75,18,0,4,4
1,85,76,15,1,2,3
1,79,62,25,1,3,3
1,69,62,17,0,3,3
1,71,53,25,1,3,3
1,92,84,9,0,4,3
0,69,72,20,1,3,4
1,82,67,20,1,1,1
1,98,84,14,1,4,2
1,76,70,9,1,4,3
1,83,56,23,1,2,2
1,85,74,2.5,0,4,4
1,96,91,2.5,1,2,3
1,67,50,8,0,4,2
1,61,48,11,1,3,3
0,80,84,3,1,4,4
1,91,73,9,1,3,2
0,63,76,6,1,2,2
1,76,59,8,1,3,1
1,81,74,3,1,3,2
0,76,92,5.5,0,3,3
1,63,61,9,1,4,1
1,96,91,9,0,2,4
0,70,71,12,1,3,2
1,73,68,13,1,3,3
1,83,80,5,0,4,3
0,89,95,5,1,2,1
1,69,59,10,1,4,3
0,64,79,2.5,1,2,3
0,65,71,2.5,1,1,1
1,78,51,14,1,3,3
1,79,59,19,1,0,3
0,77,85,1,1,0,3
0,72,75,5,1,3,3
1,94,74,23,1,4,4
1,94,69,29,1,2,3
1,89,75,24,1,3,3
1,75,68,5,0,3,3
1,78,68,3.5,1,4,4
1,50,49,7.5,1,3,4
1,75,71,2.5,0,2,3
1,74,53,13.5,1,1,1
1,71,54,13.5,1,1,1
1,95,77,16.5,1,1,1
0,70,73,2,1,1,1
1,82,55,19,1,1,1
1,85,75,2.5,1,1,1
1,73,63,1,1,1,1
1,79,72,6.5,0,3,1
1,74,72,9,0,3,2
1,86,66,8.5,0,1,3
0,48,53,9,0,3,3
1,90,65,19,1,3,2
1,63,62,6.5,1,2,1
1,71,62,8,0,2,3
1,50,46,5,0,3,3
1,84,49,14,1,3,3
1,80,61,1.5,1,3,2
1,87,86,11,1,3,4
1,81,80,9,0,3,1
0,91,92,11,1,2,1
1,71,65,7.5,0,3,3
0,73,83,2,1,4,4
0,72,77,10,1,3,3
1,83,68,8,0,3,2
1,67,65,20,1,4,4
1,93,76,15,0,2,2
1,66,61,3,0,2,2
1,69,62,2,1,3,3
1,87,58,17,1,1,1
1,92,72,5.5,0,1,2
0,89,96,1.5,1,2,2
1,75,61,5.5,0,1,2
0,75,82,4,0,2,1
0,71,90,2,0,3,3
0,84,96,3,0,4,4
1,91,72,17,1,4,3
0,67,71,1.5,1,3,3
0,55,66,4.5,0,4,4
1,73,71,4.5,1,4,4
1,83,63,3,1,4,4
1,129,89,39,1,4,4
1,92,66,14,1,4,4
1,80,63,12,0,3,3
1,77,72,7,0,3,3
1,70,65,6,1,3,3
1,75,60,15,1,3,3
0,58,64,7,0,2,2
0,73,79,8,0,2,2
1,82,72,27,1,2,2
1,76,68,19,1,3,2
1,86,64,14,1,2,3
0,78,90,2,0,2,1
1,80,71,9,1,1,3
1,74,64,14,1,1,1
0,71,97,13,1,4,1
1,93,69,21.5,0,2,2
1,94,73,25,1,3,3
1,87,76,10,1,4,3
1,83,74,4,1,3,3
1,100,73,37,1,4,4
1,84,70,15,1,3,4
1,75,55,11,1,3,3
1,67,64,3.5,1,4,2
1,70,52,8.5,0,4,2
1,79,68,22,1,3,3
1,111,67,11,1,2,2
1,89,73,2.5,1,1,1
1,81,58,25,1,4,3
1,92,68,22,1,4,4
1,80,75,20,1,2,1
1,73,60,4.5,0,3,1
1,85,60,27,1,2,4
0,65,67,13,1,3,3
0,61,63,4,0,3,2
1,80,61,1,1,1,1
1,79,54,6,1,1,1
1,88,77,1,1,1,1
0,76,89,11,1,3,1
0,67,68,21,1,3,3
1,76,61,1.5,1,3,3
1,76,67,4,1,4,3
1,89,66,20,1,3,3
1,70,49,2.5,1,3,2
1,100,78,6.5,0,2,3
1,81,78,20,1,3,3
1,70,61,15,1,1,1
1,76,54,16.5,1,1,1
0,74,86,9,0,1,1
1,89,78,2,1,1,4
1,79,69,12,1,1,1
1,88,80,14.5,1,3,3
1,89,72,11,1,3,1
0,56,66,1.5,1,4,2
1,80,45,23,1,4,3
0,84,94,1,0,1,4
1,101,70,20,1,4,4
0,60,64,9.5,1,4,1
1,86,64,3.5,0,2,2
1,71,57,20,1,2,2
1,57,54,6,1,3,4
1,59,50,3,0,3,3
1,95,88,11.5,0,2,2
1,72,69,3.5,1,1,2
0,68,72,1.5,0,3,2
0,61,71,2.5,0,4,1
1,137,100,29,1,1,4
1,88,76,6.5,0,4,1
1,82,50,21,1,3,2
1,115,68,22,1,2,1
1,82,63,19,1,2,2
0,58,74,2.5,1,2,3
0,71,75,2.5,1,1,1
0,75,86,1,0,1,1
0,60,77,5,1,2,3
1,86,69,14,1,3,3
1,85,68,26,0,4,4
1,95,68,8.5,0,3,3
1,58,56,9,1,1,1
1,69,66,5,1,1,1
1,71,56,7,1,4,3
1,95,78,3,1,1,3
1,84,70,12,1,3,3
1,116,75,26,1,3,4
1,96,80,12.5,1,4,4
1,93,58,15,0,4,4
0,69,72,2,1,1,3
0,71,81,5,0,4,2
1,71,66,5,0,4,2
1,74,68,2,0,2,4
1,56,55,4,0,1,3
1,87,75,13,1,3,2
1,73,64,4,0,4,3
0,61,63,4,1,3,3
1,63,60,6,0,3,4
1,89,75,14,1,3,1
0,79,86,3,0,4,3
1,82,72,1.5,1,3,1
1,71,60,9,0,3,3
1,71,54,22,1,2,3
0,43,56,10,1,3,3
1,78,54,8,1,3,3
1,91,72,7,1,1,1
1,90,59,22,1,4,4
